time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-22T14:58:16.310Z,19.4386667,-155.4976667,7.56,2.22,ml,50,39,0.02828,0.13,hv,hv71485857,2020-04-22T22:41:11.730Z,"25km N of Pahala, Hawaii",earthquake,0.27,0.48,0.155,23,reviewed,hv,hv
2020-04-16T03:47:00.040Z,19.3608333,-155.4903333,7.07,2.06,ml,48,41,0.07389,0.12,hv,hv71476717,2020-04-16T23:27:32.860Z,"17km N of Pahala, Hawaii",earthquake,0.3,0.83,0.118,14,reviewed,hv,hv
2020-04-11T19:38:07.230Z,19.3733333,-155.4376667,8.42,2.15,md,54,38,0.06317,0.12,hv,hv71469502,2020-06-30T14:02:59.040Z,"19km NNE of Pahala, Hawaii",earthquake,0.25,0.47,0.14,23,reviewed,hv,hv
2020-03-31T23:47:50.640Z,19.4555,-155.3975,8.61,2.27,ml,52,34,0.03901,0.1,hv,hv71453582,2020-04-01T00:14:46.470Z,"16km W of Volcano, Hawaii",earthquake,0.29,0.55,0.207,25,reviewed,hv,hv
2020-03-31T14:11:24.670Z,19.2588329,-155.5005035,7.96,1.79,ml,49,58,0.0105,0.28,hv,hv71452872,2020-03-31T14:16:58.260Z,"6km NNW of Pahala, Hawaii",earthquake,0.42,0.79,4.84,3,automatic,hv,hv
2020-03-27T19:18:50.190Z,19.4631667,-155.4548333,7.34,2.21,ml,48,59,0.06633,0.12,hv,hv71447487,2020-03-27T23:19:25.200Z,"23km W of Volcano, Hawaii",earthquake,0.3,0.58,0.149,15,reviewed,hv,hv
2020-03-26T13:03:09.270Z,19.4176674,-155.5016632,7.42,1.72,md,32,52,0.03928,0.23,hv,hv71445822,2020-03-26T13:06:25.350Z,"23km N of Pahala, Hawaii",earthquake,0.48,1.24,0.16,10,automatic,hv,hv
2020-03-26T12:41:46.670Z,19.4068336,-155.5045013,8.35,1.77,md,39,36,0.04048,0.17,hv,hv71445792,2020-03-26T12:45:05.410Z,"22km N of Pahala, Hawaii",earthquake,0.37,0.6,0.2,17,automatic,hv,hv
2020-03-25T11:44:21.070Z,19.2648333,-155.4991667,7.49,2.04,md,52,57,0.01637,0.19,hv,hv71444692,2020-06-13T18:44:49.040Z,"6km NNW of Pahala, Hawaii",earthquake,0.26,0.69,0.138,20,reviewed,hv,hv
2020-03-07T17:23:13.670Z,19.4865,-155.4323333,8.28,1.07,md,16,103,0.04419,0.1,hv,hv71416297,2020-03-09T01:32:27.370Z,"21km WNW of Volcano, Hawaii",earthquake,0.38,0.68,0.064,8,reviewed,hv,hv
2020-03-05T07:43:49.110Z,19.3686676,-155.4811707,8.95,1.7,md,42,41,0.07568,0.13,hv,hv71413117,2020-03-05T07:47:13.630Z,"18km N of Pahala, Hawaii",earthquake,0.39,0.84,0.07,19,automatic,hv,hv
2020-02-26T10:26:57.170Z,19.3493333,-155.457,7.83,1.66,md,53,43,0.06921,0.11,hv,hv71401282,2020-02-28T00:37:47.780Z,"16km N of Pahala, Hawaii",earthquake,0.23,0.53,0.162,22,reviewed,hv,hv
2020-02-24T13:51:30.230Z,19.4273338,-155.510498,8.51,1.77,ml,48,34,0.02669,0.16,hv,hv71398097,2020-02-24T13:57:04.770Z,"24km N of Pahala, Hawaii",earthquake,0.35,0.51,4.91,3,automatic,hv,hv
2020-02-17T06:44:58.880Z,19.4663333,-155.5591667,9.12,1,md,12,89,0.02067,0.2,hv,hv71386692,2020-02-18T21:40:45.150Z,"30km NNW of Pahala, Hawaii",earthquake,0.98,1.27,0.21,9,reviewed,hv,hv
2020-02-03T14:11:44.420Z,19.414,-155.4388333,8.84,2.6,ml,53,41,0.08899,0.09,hv,hv71366347,2020-04-18T22:10:20.040Z,"21km W of Volcano, Hawaii",earthquake,0.26,0.47,0.142,40,reviewed,hv,hv
2020-01-26T15:24:00.560Z,19.4168333,-155.4355,7.68,2.16,ml,54,40,0.08914,0.1,hv,hv71352122,2020-02-26T00:22:22.750Z,"20km W of Volcano, Hawaii",earthquake,0.25,0.52,0.112,15,reviewed,hv,hv
2020-01-07T12:04:42.290Z,19.3521667,-155.4946667,8.68,3.58,ml,38,45,0.0774,0.11,hv,hv71321862,2020-03-21T17:13:41.040Z,"16km N of Pahala, Hawaii",earthquake,0.31,0.96,0.171,42,reviewed,hv,hv
2019-12-26T12:37:50.310Z,19.3348331,-155.4071655,7.89,1.7,md,41,62,0.02037,0.2,hv,hv71293516,2019-12-26T12:41:05.790Z,"16km NNE of Pahala, Hawaii",earthquake,0.41,0.76,0.3,22,automatic,hv,hv
2019-12-17T18:30:57.690Z,19.294,-155.4308333,7.7,2.32,ml,53,57,0.05794,0.14,hv,hv71282316,2020-03-14T01:27:40.400Z,"11km NNE of Pahala, Hawaii",earthquake,0.25,0.52,0.189,14,reviewed,hv,hv
2019-12-17T17:46:50.640Z,19.2936667,-155.423,9.2,1.88,md,40,68,0.05297,0.12,hv,hv71282296,2020-03-07T17:47:27.040Z,"11km NNE of Pahala, Hawaii",earthquake,0.32,0.77,0.107,13,reviewed,hv,hv
2019-12-14T21:34:20.760Z,19.4208333,-155.4788333,8,2.53,ml,57,40,0.05254,0.09,hv,hv71278896,2020-03-04T21:27:02.040Z,"23km N of Pahala, Hawaii",earthquake,0.22,0.35,0.136,28,reviewed,hv,hv
2019-12-05T18:01:42.880Z,19.3085,-155.4908333,11.22,2.6,ml,54,73,0.0603,0.12,hv,hv71263241,2020-02-29T19:52:49.040Z,"11km N of Pahala, Hawaii",earthquake,0.26,0.43,0.148,38,reviewed,hv,hv
2019-12-01T06:47:16.330Z,19.3116667,-155.4945,12.37,3.43,ml,52,44,0.0631,0.1,hv,hv71257141,2020-02-19T18:58:27.040Z,"11km N of Pahala, Hawaii",earthquake,0.28,0.38,0.15,40,reviewed,hv,hv
2019-11-28T14:07:59.830Z,19.4831667,-155.461,8.95,1.08,md,22,76,0.04661,0.11,hv,hv71254261,2019-11-29T23:54:08.440Z,"24km WNW of Volcano, Hawaii",earthquake,0.44,0.93,0.075,9,reviewed,hv,hv
2019-11-25T15:00:00.350Z,19.2626667,-155.4536667,7.58,2.1,ml,36,70,0.04511,0.13,hv,hv71249786,2019-11-25T22:04:20.650Z,"6km NNE of Pahala, Hawaii",earthquake,0.35,0.73,0.202,17,reviewed,hv,hv
2019-11-24T16:58:23.830Z,19.2503333,-155.4426667,8.29,2.27,ml,47,86,0.04454,0.12,hv,hv71248941,2019-11-25T21:31:40.850Z,"6km NE of Pahala, Hawaii",earthquake,0.26,0.5,0.089,11,reviewed,hv,hv
2019-11-22T11:58:32.700Z,19.4143333,-155.5133362,9.69,1.73,md,44,38,0.03751,0.15,hv,hv71246561,2019-11-22T12:01:48.690Z,"23km N of Pahala, Hawaii",earthquake,0.39,0.44,0.15,24,automatic,hv,hv
2019-11-17T06:09:52.480Z,19.4381667,-155.4831667,7.75,2.19,ml,55,43,0.04128,0.11,hv,hv71238596,2019-11-19T01:13:48.080Z,"25km W of Volcano, Hawaii",earthquake,0.22,0.35,0.158,25,reviewed,hv,hv
2019-11-17T00:47:28.030Z,19.3606663,-155.3975067,10.49,1.71,md,41,55,0.02935,0.1,hv,hv71237936,2019-11-17T00:50:41.270Z,"18km WSW of Volcano, Hawaii",earthquake,0.32,0.44,0.26,24,automatic,hv,hv
2019-11-11T16:13:02.080Z,19.373,-155.439,8.3,1.97,ml,49,35,0.01723,0.11,hv,hv71228131,2019-11-16T00:56:11.860Z,"19km NNE of Pahala, Hawaii",earthquake,0.29,0.55,0.207,27,reviewed,hv,hv
2019-11-10T08:53:12.540Z,19.3443333,-155.4945,7,2.02,ml,54,40,0.04472,0.12,hv,hv71225186,2019-11-15T03:08:12.580Z,"15km N of Pahala, Hawaii",earthquake,0.22,0.45,0.157,22,reviewed,hv,hv
2019-11-05T23:46:29.220Z,19.3441667,-155.4926667,8.06,1.99,ml,47,46,0.04347,0.1,hv,hv71217801,2019-11-06T02:23:13.180Z,"15km N of Pahala, Hawaii",earthquake,0.24,0.57,0.152,21,reviewed,hv,hv
2019-11-04T15:50:25.530Z,19.3106667,-155.4238333,9.08,1.8,ml,45,63,0.04256,0.12,hv,hv71215951,2019-11-05T20:58:37.490Z,"13km NNE of Pahala, Hawaii",earthquake,0.31,0.53,0.17,18,reviewed,hv,hv
2019-11-04T15:39:27.140Z,19.3591667,-155.5025,8.14,2.35,ml,53,37,0.04463,0.11,hv,hv71215941,2019-11-05T20:51:45.980Z,"17km N of Pahala, Hawaii",earthquake,0.25,0.51,0.146,29,reviewed,hv,hv
2019-10-31T13:01:07.050Z,19.3411667,-155.4915,7.93,2.45,ml,55,40,0.04463,0.11,hv,hv71206891,2020-01-18T20:00:49.040Z,"15km N of Pahala, Hawaii",earthquake,0.24,0.45,0.113,34,reviewed,hv,hv
2019-10-26T15:26:17.190Z,19.466,-155.4383333,7.4,2.75,ml,56,57,0.05627,0.12,hv,hv71198606,2020-01-11T21:26:44.040Z,"21km W of Volcano, Hawaii",earthquake,0.26,0.45,0.211,42,reviewed,hv,hv
2019-10-23T11:18:20.490Z,19.362,-155.491,7.83,2.18,ml,60,36,0.03342,0.12,hv,hv71193986,2019-10-23T21:54:32.330Z,"17km N of Pahala, Hawaii",earthquake,0.21,0.39,0.101,25,reviewed,hv,hv
2019-10-22T09:19:24.990Z,19.3786659,-155.4550018,9.06,1.7,md,47,35,0.006893,0.2,hv,hv71192396,2019-10-22T09:22:33.840Z,"19km N of Pahala, Hawaii",earthquake,0.42,0.9,0.18,26,automatic,hv,hv
2019-10-21T11:53:06.870Z,19.4349995,-155.4948273,8.35,1.94,ml,40,58,0.03231,0.1,hv,hv71191231,2019-10-21T11:58:47.880Z,"25km N of Pahala, Hawaii",earthquake,0.33,0.32,0.2,3,automatic,hv,hv
2019-10-15T16:59:29.290Z,19.2308333,-155.4866667,10,2.08,ml,47,71,0.02098,0.12,hv,hv71183476,2019-10-16T00:09:25.970Z,"2km NNW of Pahala, Hawaii",earthquake,0.3,0.57,0.167,17,reviewed,hv,hv
2019-10-11T08:55:50.650Z,19.4156666,-155.3993378,9.31,1.75,ml,44,59,0.0748,0.12,hv,hv71176846,2019-10-11T09:01:32.430Z,"17km W of Volcano, Hawaii",earthquake,0.34,0.66,0.26,3,automatic,hv,hv
2019-10-01T14:02:19.890Z,19.2816667,-155.4776667,8.47,2.02,md,31,53,0.03876,0.12,hv,hv71160051,2019-10-01T21:00:03.190Z,"8km N of Pahala, Hawaii",earthquake,0.27,0.88,0.175,13,reviewed,hv,hv
2019-10-01T05:12:07.140Z,19.2393333,-155.5215,7.03,2.69,ml,59,45,0.0231,0.15,hv,hv71158936,2019-12-27T15:49:35.040Z,"5km NW of Pahala, Hawaii",earthquake,0.2,0.5,0.147,40,reviewed,hv,hv
2019-09-30T20:56:04.450Z,19.3636665,-155.4128265,8.9,1.84,ml,41,36,0.03956,0.15,hv,hv71158201,2019-09-30T21:01:50.990Z,"18km NNE of Pahala, Hawaii",earthquake,0.35,0.71,0.12,4,automatic,hv,hv
2019-09-29T08:17:43.230Z,19.2248333,-155.5733333,9.09,3.06,ml,37,50,0.04469,0.07,hv,hv71156041,2019-12-20T19:03:41.040Z,"10km WNW of Pahala, Hawaii",earthquake,0.23,0.49,0.156,46,reviewed,hv,hv
