time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-13T19:31:45.210Z,19.5168333,-155.6646667,4.96,2.53,ml,25,130,0.03801,0.1,hv,hv71329167,2020-04-02T21:28:27.040Z,"24km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.38,0.55,0.201,7,reviewed,hv,hv
2020-01-09T22:19:07.320Z,19.5101662,-155.6600037,2.19,1.88,md,28,69,0.04073,0.22,hv,hv71325042,2020-01-09T22:24:41.780Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.57,1.13,0.3,12,automatic,hv,hv
2019-12-30T15:16:05.760Z,19.5056667,-155.654,2.91,2.38,ml,22,67,0.046,0.12,hv,hv71309527,2020-01-03T20:12:38.510Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.32,0.75,0.163,5,reviewed,hv,hv
2019-12-30T12:01:12.150Z,19.5143333,-155.6636667,4.43,2.5,ml,25,43,0.03818,0.12,hv,hv71309387,2020-03-14T22:23:14.040Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.34,0.63,0.218,14,reviewed,hv,hv
2019-12-30T05:55:18.320Z,19.4788333,-155.6496667,2.32,1.3,md,24,84,0.04996,0.12,hv,hv71309082,2020-01-03T20:12:56.710Z,"22km E of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.82,0.238,11,reviewed,hv,hv
2019-12-29T11:15:07.560Z,19.5065,-155.66,3.34,1.38,md,23,46,0.04038,0.12,hv,hv71307677,2020-01-03T20:12:30.510Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.31,0.74,0.255,11,reviewed,hv,hv
2019-12-29T11:09:16.160Z,19.5096664,-155.6649933,0.31,1.73,md,39,68,0.036,0.28,hv,hv71307667,2019-12-29T11:12:24.880Z,"21km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.6,1.62,0.24,13,automatic,hv,hv
2019-12-29T09:18:26.420Z,19.4986668,-155.6603394,0.01,1.84,md,26,66,0.04039,0.24,hv,hv71307517,2019-12-29T09:24:06.960Z,"21km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.54,1.19,0.14,9,automatic,hv,hv
2019-12-29T09:16:39.840Z,19.5078333,-155.66,2.6,1.1,md,22,46,0.04047,0.13,hv,hv71307512,2020-01-03T20:11:54.110Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.33,0.8,0.212,10,reviewed,hv,hv
2019-12-29T09:09:45.230Z,19.5068333,-155.6588333,3.73,2.8,ml,26,46,0.04149,0.12,hv,hv71307497,2020-03-14T22:23:36.040Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.33,0.66,0.171,38,reviewed,hv,hv
2019-12-27T13:53:16.770Z,19.5171667,-155.6606667,3.46,2.12,ml,27,44,0.04169,0.12,hv,hv71304862,2020-01-03T20:11:04.380Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.38,0.69,0.227,12,reviewed,hv,hv
2019-12-23T07:30:41.710Z,19.5061665,-155.6600037,3.25,1.87,md,33,84,0.04036,0.18,hv,hv71289316,2019-12-23T07:33:58.290Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.51,1.13,0.17,10,automatic,hv,hv
2019-12-23T07:24:24.550Z,19.5038338,-155.6616669,4.3,1.8,md,41,47,0.03875,0.2,hv,hv71289311,2019-12-23T07:27:26.940Z,"21km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.42,0.57,0.35,15,automatic,hv,hv
2019-12-23T06:41:31.130Z,19.5115,-155.6605,4.3,2.82,ml,27,43,0.04048,0.1,hv,hv71289266,2020-03-07T17:47:50.040Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.3,0.6,0.144,37,reviewed,hv,hv
2019-12-22T22:26:48.270Z,19.5114994,-155.656662,1.89,1.75,md,22,95,0.04405,0.17,hv,hv71288821,2019-12-22T22:30:45.610Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.67,1.06,0.1,11,automatic,hv,hv
2019-12-22T16:14:56.660Z,19.5133333,-155.6641667,4.91,3.24,ml,41,44,0.03747,0.13,hv,hv71288486,2020-03-07T17:47:46.040Z,"21km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.55,0.156,46,reviewed,hv,hv
2019-12-22T09:30:45.600Z,19.5086667,-155.6598333,4.14,2.45,ml,26,43,0.04071,0.1,hv,hv71288136,2020-03-07T17:47:45.040Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.63,0.208,24,reviewed,hv,hv
2019-12-21T22:08:17.250Z,19.5096667,-155.664,4.27,2.65,ml,25,43,0.03693,0.11,hv,hv71287691,2020-03-07T17:47:43.040Z,"21km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.29,0.62,0.152,29,reviewed,hv,hv
2019-12-21T05:39:11.120Z,19.5095,-155.6611667,4.41,2.73,ml,23,69,0.03955,0.11,hv,hv71286926,2020-03-07T17:47:41.040Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.29,0.61,0.166,38,reviewed,hv,hv
2019-12-21T03:19:32.940Z,19.5025005,-155.6544952,2.62,1.93,ml,34,67,0.04555,0.23,hv,hv71286851,2019-12-21T03:25:14.170Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.49,0.64,4.92,5,automatic,hv,hv
2019-12-20T15:03:47.250Z,19.4973335,-155.6571655,1.61,1.78,md,25,98,0.04355,0.32,hv,hv71285991,2019-12-20T15:06:59.030Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.55,1.5,0.16,11,automatic,hv,hv
2019-12-18T17:56:55.120Z,19.5143337,-155.6543274,0.21,1.73,md,25,70,0.04674,0.19,hv,hv71283246,2019-12-18T18:02:36.630Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.48,1.06,0.05,8,automatic,hv,hv
2019-12-17T03:48:43.710Z,19.521,-155.6663333,4.84,2.55,ml,47,41,0.03814,0.12,hv,hv71281701,2020-03-07T17:47:25.040Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.43,0.118,26,reviewed,hv,hv
2019-12-10T10:39:33.780Z,19.4746666,-155.5888367,1.6,1.87,ml,6,185,0.01088,0.13,hv,hv71271761,2019-12-10T10:45:25.530Z,"29km E of Honaunau-Napoopoo, Hawaii",earthquake,0.89,1.02,4.08,3,automatic,hv,hv
2019-12-09T02:13:18.190Z,19.4083333,-155.6371667,0.12,1.6,ml,34,152,0.01061,0.14,hv,hv71268911,2019-12-11T21:26:34.730Z,"24km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.38,0.63,0.186,14,reviewed,hv,hv
2019-12-09T00:24:42.560Z,19.515,-155.6621667,4.29,2.1,ml,17,77,0.03115,0.11,hv,hv71268721,2019-12-09T21:19:54.770Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.4,0.75,0.202,15,reviewed,hv,hv
2019-12-08T04:50:51.580Z,19.5143333,-155.658,3.63,2.18,ml,19,70,0.02978,0.12,hv,hv71267391,2019-12-09T19:19:35.820Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.36,0.7,0.155,5,reviewed,hv,hv
2019-12-08T02:57:52.620Z,19.4235,-155.5448333,1.73,1.06,md,23,177,0.03265,0.1,hv,hv71267256,2020-02-20T05:57:44.040Z,"25km NNW of Pahala, Hawaii",earthquake,0.72,1.6,0.135,9,reviewed,hv,hv
2019-12-07T00:29:35.640Z,19.5151667,-155.663,3.91,2.3,ml,39,69,0.03146,0.14,hv,hv71265626,2019-12-07T01:02:26.110Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.32,0.5,0.202,13,reviewed,hv,hv
2019-12-06T19:28:45.290Z,19.5138333,-155.6596667,3.84,2.08,ml,35,70,0.03094,0.13,hv,hv71265366,2019-12-07T01:11:34.210Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.27,0.48,0.16,13,reviewed,hv,hv
2019-12-06T18:40:27.560Z,19.5145,-155.6616667,3.92,2.04,ml,26,70,0.03132,0.11,hv,hv71265301,2019-12-07T02:50:27.110Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.38,0.65,0.2,13,reviewed,hv,hv
2019-12-06T18:04:03.220Z,19.5161667,-155.6621667,4.11,2.84,ml,17,70,0.03019,0.12,hv,hv71265251,2020-02-29T19:52:49.040Z,"21km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.37,0.48,0.209,18,reviewed,hv,hv
2019-12-06T09:25:29.910Z,19.518,-155.661,4.64,1.02,md,15,105,0.02806,0.12,hv,hv71264551,2019-12-07T03:34:51.200Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.43,0.69,0.055,7,reviewed,hv,hv
2019-12-06T06:17:56.100Z,19.5125,-155.6626667,4.12,2.09,ml,52,52,0.03351,0.13,hv,hv71264216,2019-12-07T03:05:48.480Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.24,0.37,0.252,16,reviewed,hv,hv
2019-12-05T20:42:35.330Z,19.5096667,-155.6606667,2.78,2.07,ml,32,69,0.03505,0.16,hv,hv71263471,2019-12-06T00:10:25.400Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.34,0.69,0.242,7,reviewed,hv,hv
